id	hanzi	hsk	unit	pinyin	translations0	translations1	translations2	translations3	custom_translation	subunit	course	literal_translation
2682	布局	6		bù jú	arrangement	composition	layout	opening (chess jargon)	f		hsk	
2683	布置	6		bù zhì	to put in order	to arrange	to decorate	to fix up	f		hsk	
2684	步伐	6		bù fá	pace	(measured) step	march		f		hsk	
2685	部署	6		bù shǔ	to dispose	to deploy	deployment		f		hsk	
2686	部位	6		bù wèi	position	place			f		hsk	
2687	才干	6		cái gàn	ability	competence			f		hsk	
2688	财富	6		cái fù	wealth	riches			f		hsk	
2689	财务	6		cái wù	financial affairs				f		hsk	
2690	财政	6		cái zhèng	finances (public)	financial			f		hsk	
2691	裁缝	6		cái féng	tailor	dressmaker			f		hsk	
2692	裁判	6		cái pàn	judgment	to referee	umpire	judge	f		hsk	
2693	裁员	6		cái yuán	to cut staff	to lay off employees			f		hsk	
2694	采购	6		cǎi gòu	to procure (for an enterprise etc)	to purchase			f		hsk	
2695	采集	6		cǎi jí	to gather	to collect	to harvest		f		hsk	
2696	采纳	6		cǎi nà	to accept	to adopt			f		hsk	
2697	彩票	6		cǎi piào	lottery ticket				f		hsk	
2698	参谋	6		cān móu	staff officer	to give advice			f		hsk	
2699	参照	6		cān zhào	to consult a reference	to refer to (another document)			f		hsk	
2700	残酷	6		cán kù	cruel	cruelty			f		hsk	
2701	残留	6		cán liú	to remain	left over	surplus	remnant	f		hsk	
2702	残忍	6		cán rěn	cruel	mean	merciless	ruthless	f		hsk	
2703	灿烂	6		càn làn	to glitter	brilliant	splendid		f		hsk	
2704	舱	6		cāng	cabin	the hold of a ship or airplane			f		hsk	
2705	苍白	6		cāng bái	pale	wan			f		hsk	
2706	仓促	6		cāng cù	all of a sudden	hurriedly			f		hsk	
2707	仓库	6		cāng kù	depot	storehouse	warehouse		f		hsk	
2708	操劳	6		cāo láo	to work hard	to look after			f		hsk	
2709	操练	6		cāo liàn	drill	practice			f		hsk	
2710	操纵	6		cāo zòng	to operate	to control	to rig	to manipulate	f		hsk	
2711	操作	6		cāo zuò	to work	to operate	to manipulate		f		hsk	
2712	嘈杂	6		cáo zá	noisy	clamorous			f		hsk	
2713	草案	6		cǎo àn	draft (legislation	proposal etc)			f		hsk	
2714	草率	6		cǎo shuài	careless	negligent	sloppy	not serious	f		hsk	
2715	策划	6		cè huà	to plot	to scheme	to bring about	to engineer	f		hsk	
2716	策略	6		cè lvè	tactics	to be tactful			f		hsk	
2717	测量	6		cè liáng	survey	to measure	to gauge	to determine	f		hsk	
2718	侧面	6		cè miàn	lateral side	side	aspect	profile	f		hsk	
2719	层出不穷	6		céng chū bù qióng	more and more emerge	innumerable succession	breeding like flies (idiom)		f		hsk	
2720	层次	6		céng cì	arrangement of ideas	administrative level	level	stage	f		hsk	
2721	差距	6		chā jù	disparity	gap			f		hsk	
2722	查获	6		chá huò	to investigate and capture (a criminal)	to ferret out	to hunt down and arrest		f		hsk	
2723	岔	6		chà	fork in road	bifurcation	branch in road	river	f		hsk	
2724	刹那	6		chà nà	an instant (Sanskrit: ksana)	split second	the twinkling of an eye		f		hsk	
2725	诧异	6		chà yì	flabbergasted	astonished			f		hsk	
2726	柴油	6		chái yóu	diesel fuel				f		hsk	
2727	搀	6		chān	to assist by the arm	to mix	to support	to sustain	f		hsk	
2728	馋	6		chán	gluttonous	greedy	to have a craving		f		hsk	
2729	缠绕	6		chán rào	twisting	to twine	to wind	to pester	f		hsk	
2730	产业	6		chǎn yè	industry	estate	property	industrial	f		hsk	
2731	阐述	6		chǎn shù	to expound (a position)	to elaborate (on a topic)	to treat (a subject)		f		hsk	
2732	颤抖	6		chàn dǒu	to shudder	to shiver	to shake	to tremble	f		hsk	
2733	猖狂	6		chāng kuáng	savage	furious			f		hsk	
2734	昌盛	6		chāng shèng	prosperous				f		hsk	
2735	尝试	6		cháng shì	to try	to attempt	CL:次[cì]		f		hsk	
2736	偿还	6		cháng huán	to repay	to reimburse			f		hsk	
2737	常年	6		cháng nián	all year round	for years on end	average year		f		hsk	
2738	常务	6		cháng wù	routine	everyday business	daily operation (of a company)		f		hsk	
2739	场合	6		chǎng hé	situation	occasion			f		hsk	
2740	场面	6		chǎng miàn	scene	spectacle	occasion	situation	f		hsk	
2741	场所	6		chǎng suǒ	location	place			f		hsk	
2742	敞开	6		chǎng kāi	to open wide	unrestrictedly			f		hsk	
2743	倡导	6		chàng dǎo	to advocate	to initiate	to propose	to be a proponent of (an idea or school of thought)	f		hsk	
2744	倡议	6		chàng yì	to suggest	to initiate	proposal	initiative	f		hsk	
2745	畅通	6		chàng tōng	unimpeded	free-flowing	straight path	unclogged	f		hsk	
2746	畅销	6		chàng xiāo	to sell well	best seller	chart-topping		f		hsk	
2747	超级	6		chāo jí	super-	ultra-	hyper-		f		hsk	
2748	超越	6		chāo yuè	to surpass	to exceed	to transcend		f		hsk	
2749	钞票	6		chāo piào	paper money	a bill (e.g. 100 yuan)	CL:張|张	扎[zā]	f		hsk	
2750	潮流	6		cháo liú	tide	current	trend		f		hsk	
2751	潮湿	6		cháo shī	damp	moist			f		hsk	
2752	嘲笑	6		cháo xiào	to jeer at	to deride	to ridicule	mockery	f		hsk	
2753	撤退	6		chè tuì	to retreat				f		hsk	
2754	撤销	6		chè xiāo	to repeal	to revoke	to undo (computing)		f		hsk	
2755	沉淀	6		chén diàn	to settle	to precipitate (solid sediment out of a solution)			f		hsk	
2756	沉闷	6		chén mèn	oppressive (of weather)	heavy	depressed	not happy	f		hsk	
2757	沉思	6		chén sī	to contemplate	to ponder	contemplation	meditation	f		hsk	
2758	沉重	6		chén zhòng	heavy	hard	serious	critical	f		hsk	
2759	沉着	6		chén zhuó	steady	calm and collected	not nervous		f		hsk	
2760	陈旧	6		chén jiù	old-fashioned				f		hsk	
2761	陈列	6		chén liè	to display	to exhibit			f		hsk	
2762	陈述	6		chén shù	an assertion	to declare	to state		f		hsk	
2763	称心如意	6		chèn xīn rú yì	after one's heart (idiom); gratifying and satisfactory	everything one could wish			f		hsk	
2764	称号	6		chēng hào	name	term of address	title		f		hsk	
2765	盛	6		chéng	to hold	to contain	to ladle	to pick up with a utensil	f		hsk	
2766	橙	6		chéng	orange tree	orange (color)			f		hsk	
2767	乘务员	6		chéng wù yuán	attendant on an airplane	train	boat etc		f		hsk	
2768	承办	6		chéng bàn	to undertake	to accept a contract			f		hsk	
2769	承包	6		chéng bāo	to contract	to undertake (a job)			f		hsk	
2770	承诺	6		chéng nuò	to promise	to undertake to do something	commitment		f		hsk	
2771	城堡	6		chéng bǎo	castle	rook (chess piece)			f		hsk	
2772	成本	6		chéng běn	(manufacturing	production etc) costs			f		hsk	
2773	成交	6		chéng jiāo	to complete a contract	to reach a deal			f		hsk	
2774	成天	6		chéng tiān	(coll.) all day long	all the time			f		hsk	
2775	成效	6		chéng xiào	effect	result			f		hsk	
2776	成心	6		chéng xīn	intentional	deliberate	on purpose		f		hsk	
2777	成员	6		chéng yuán	member				f		hsk	
2778	惩罚	6		chéng fá	penalty	punishment	to punish		f		hsk	
2779	诚挚	6		chéng zhì	sincere	cordial			f		hsk	
2780	澄清	6		chéng qīng	clear (of liquid)	limpid	to clarify	to make sth clear	f		hsk	
2781	呈现	6		chéng xiàn	to appear	to emerge	to present (a certain appearance)	to demonstrate	f		hsk	
2782	秤	6		chèng	steelyard	Roman balance	CL:臺|台[tái]		f		hsk	
2783	吃苦	6		chī kǔ	to bear	hardships			f		hsk	
2784	吃力	6		chī lì	to entail strenuous effort	to toil at a task	strenuous	laborious	f		hsk	
2785	迟缓	6		chí huǎn	slow	sluggish			f		hsk	
2786	迟疑	6		chí yí	to hesitate				f		hsk	
2787	持久	6		chí jiǔ	lasting	enduring	persistent	permanent	f		hsk	
2788	池塘	6		chí táng	pool	pond			f		hsk	
2789	赤道	6		chì dào	equator (of the earth or astronomical body)				f		hsk	
2790	赤字	6		chì zì	(financial) deficit	red letter			f		hsk	
2791	冲动	6		chōng dòng	to have an urge	to be impetuous	impulse	urge	f		hsk	
2792	冲击	6		chōng jī	an attack	under attack	a shock		f		hsk	
2793	冲突	6		chōng tū	conflict	to conflict	clash of opposing forces	collision (of interests)	f		hsk	
2794	充当	6		chōng dāng	to serve as	to act as	to play the role of		f		hsk	
2795	充沛	6		chōng pèi	abundant	plentiful	vigorous		f		hsk	
2796	充实	6		chōng shí	rich	full	substantial	to enrich	f		hsk	
2797	充足	6		chōng zú	adequate	sufficient	abundant		f		hsk	
2798	崇拜	6		chóng bài	to worship	adoration			f		hsk	
2799	崇高	6		chóng gāo	majestic	sublime			f		hsk	
2800	崇敬	6		chóng jìng	to revere	high esteem			f		hsk	
2801	重叠	6		chóng dié	to overlap	to superimpose	to telescope	to run together	f		hsk	
2802	重阳节	6		Chóng yáng jié	Double Ninth or Yang Festival	9th day of 9th lunar month			f		hsk	
2803	抽空	6		chōu kòng	to find the time to do sth				f		hsk	
2804	筹备	6		chóu bèi	preparations	to get ready for sth			f		hsk	
2805	踌躇	6		chóu chú	to hesitate				f		hsk	
2806	稠密	6		chóu mì	dense				f		hsk	
2807	丑恶	6		chǒu è	ugly	repulsive			f		hsk	
2808	出路	6		chū lù	a way out (of a difficulty etc)				f		hsk	
2809	出卖	6		chū mài	to offer for sale	to sell	to sell out or betray		f		hsk	
2810	出身	6		chū shēn	to be born of	to come from	family background	class origin	f		hsk	
2811	出神	6		chū shén	entranced	Trance (music genre)			f		hsk	
2812	出息	6		chū xi	future prospects	profit	to mature	to grow up	f		hsk	
2813	出洋相	6		chū yáng xiàng	to make a fool of oneself				f		hsk	
2814	初步	6		chū bù	initial	preliminary	tentative		f		hsk	
2815	储备	6		chǔ bèi	reserves	to store up			f		hsk	
2816	储存	6		chǔ cún	stockpile	to store	to stockpile	storage	f		hsk	
2817	储蓄	6		chǔ xù	to deposit money	to save	savings		f		hsk	
2818	处分	6		chǔ fèn	to discipline sb	to punish	disciplinary action	to deal with (a matter)	f		hsk	
2819	处境	6		chǔ jìng	plight	unfavorable situation			f		hsk	
2820	处置	6		chǔ zhì	to handle	to take care of	to punish		f		hsk	
2821	触犯	6		chù fàn	to offend				f		hsk	
2822	穿越	6		chuān yuè	to pass through	to cross	to overcome		f		hsk	
2823	川流不息	6		chuān liú bù xī	the stream flows without stopping (idiom); unending flow				f		hsk	
2824	船舶	6		chuán bó	shipping	boats			f		hsk	
