id	hanzi	hsk	unit	pinyin	translations0	translations1	translations2	translations3	custom_translation	subunit	course	literal_translation
915	陪	4	91	péi	to accompany	to keep sb company	to assist	old variant of 賠|赔[péi]	f	3	hsk	
916	批评	4		pī píng	to criticize	criticism	CL:個|个[gè]		f		hsk	
917	皮肤	4	54	pí fū	skin	CL:層|层	塊|块[kuài]		f	1	hsk	
918	脾气	4		pí qi	character	temperament	disposition	bad temper	f		hsk	
919	篇	4	57	piān	sheet	piece of writing	bound set of bamboo slips used for record keeping (old)	classifier for written items: chapter	f	2	hsk	
920	骗	4	83	piàn	to cheat	to swindle	to deceive	to fool	f	2	hsk	
921	乒乓球	4	59	pīng pāng qiú	table tennis	ping-pong	ping pong	table tennis ball	f	2	hsk	
922	平时	4		píng shí	ordinarily	in normal times	in peacetime		f		hsk	
923	瓶子	4	78	píng zi	bottle	CL:個|个[gè]			f	1	hsk	
924	破	4	83	pò	damaged	damaged	worn out	to break	t	2	hsk	
925	普遍	4		pǔ biàn	universal	general	widespread	common	f		hsk	
926	其次	4		qí cì	next	secondly			f		hsk	
927	其中	4		qí zhōng	among	in	included among these		f		hsk	
928	起飞	4	47	qǐ fēi	to take off (in an airplane)				f	4	hsk	
929	起来	4	62	qi lai	(after a verb indicating perception)	indicates beginning or completeness)			t	2	hsk	
930	气候	4	80	qì hòu	climate	atmosphere	situation	CL:種|种[zhǒng]	f	1	hsk	
931	千万	4		qiān wàn	ten million	countless	many	one must by all means	f		hsk	
932	签证	4	58	qiān zhèng	visa	certificate	to certify	CL:個|个[gè]	f	1	hsk	
933	墙	4	53	qiáng	wall	CL:面	堵[dǔ]		f	1	hsk	
934	敲	4		qiāo	to hit	to strike	to tap	to rap	f		hsk	
935	桥	4	52	qiáo	bridge	CL:座[zuò]			f	3	hsk	
936	巧克力	4	48	qiǎo kè lì	chocolate	CL:塊|块[kuài]			t	3	hsk	
937	亲戚	4	56	qīn qi	a relative	CL:門|门	個|个	位[wèi]	t	2	hsk	
938	轻	4	54	qīng	gentle	easy	gentle	soft	t	3	hsk	
939	轻松	4	95	qīng sōng	easily	relaxed			t	1	hsk	
940	情况	4	93	qíng kuàng	circumstances	state of affairs	situation	CL:個|个	f	2	hsk	
941	请假	4	51	qǐng jià	to request leave of absence				f	2	hsk	
942	请客	4	61	qǐng kè	to give a dinner party	to entertain guests	to invite to dinner		f	1	hsk	
943	穷	4	55	qióng	poor	poor			t	4	hsk	
944	区别	4		qū bié	difference	to distinguish	to discriminate	to make a distinction	f		hsk	
945	取	4		qǔ	to take	to get	to choose	to fetch	f		hsk	
946	全部	4	95	quán bù	all	entire	complete		t	1	hsk	
947	缺点	4	83	quē diǎn	weak point	fault	shortcoming	CL:個|个[gè]	f	2	hsk	
948	缺少	4	53	quē shǎo	lack	shortage of	shortfall	to be short (of)	f	2	hsk	
949	却	4		què	but	yet	however	while	f		hsk	
950	确实	4		què shí	indeed	really	reliable	real	f		hsk	
951	群	4		qún	group	crowd	flock	herd	f		hsk	
952	然而	4		rán ér	however	yet	but		f		hsk	
953	热闹	4	61	rè nao	lively	lively			t	1	hsk	
954	人民币	4	55	rén mín bì	Renminbi (RMB)	Chinese Yuan (CNY)			f	2	hsk	
955	任何	4	93	rèn hé	any	whatever	whichever	whatsoever	f	3	hsk	
956	任务	4		rèn wu	mission	assignment	task	duty	f		hsk	
957	扔	4	79	rēng	to throw	to throw away			f	2	hsk	
958	仍然	4		réng rán	still	yet			f		hsk	
959	日记	4		rì jì	diary	CL:則|则	本	篇[piān]	f		hsk	
960	入口	4	55	rù kǒu	entrance				f	1	hsk	
961	软	4	92	ruǎn	soft	flexible			f	2	hsk	
962	散步	4	93	sàn bù	to take a walk	to go for a walk			f	1	hsk	
963	森林	4	50	sēn lín	forest	CL:片[piàn]			f	1	hsk	
964	沙发	4	53	shā fā	sofa	CL:條|条	張|张[zhāng]		f	3	hsk	
965	商量	4		shāng liang	to consult	to talk over	to discuss		f		hsk	
966	伤心	4		shāng xīn	to grieve	to be broken-hearted	to feel deeply hurt		f		hsk	
967	稍微	4	48	shāo wēi	a little bit				f	3	hsk	
968	社会	4		shè huì	society	CL:個|个[gè]			f		hsk	
969	深	4	63	shēn	deep	deep	late	profound	t	1	hsk	
970	申请	4	58	shēn qǐng	to apply for sth	application (form etc)	CL:份[fèn]		f	1	hsk	
971	甚至	4	57	shèn zhì	even	so much so that			f	3	hsk	
972	生活	4	82	shēng huó	life	activity	to live	livelihood	f	2	hsk	
973	生命	4		shēng mìng	life	living	biological	CL:個|个[gè]	f		hsk	
974	省	4		shěng	to save	to economize	to do without	to omit	f		hsk	
975	剩	4		shèng	to remain	to be left	to have as remainder		f		hsk	
976	失败	4	59	shī bài	to be defeated	to lose	to fail (e.g. experiments)	failure	f	3	hsk	
977	失望	4	59	shī wàng	disappointed	to lose hope	to despair		f	3	hsk	
978	师傅	4		shī fu	master	qualified worker	respectful form of address for older men	CL:個|个	f		hsk	
979	湿润	4	80	shī rùn	moist				f	1	hsk	
980	狮子	4	50	shī zi	lion	CL:隻|只	頭|头[tóu]	Leo (star sign)	f	3	hsk	
981	十分	4	47	shí fēn	very	very	hundred percent	completely	t	1	hsk	
982	实际	4		shí jì	actual	reality	practice		f		hsk	
983	实在	4	60	shí zài	really	actually	indeed	true	f	3	hsk	
984	食品	4		shí pǐn	foodstuff	food	provisions	CL:種|种[zhǒng]	f		hsk	
985	使用	4	57	shǐ yòng	to use	to employ	to apply	to make use of	f	5	hsk	
986	试	4		shì	to test	to try	experiment	examination	f		hsk	
987	市场	4	55	shì chǎng	marketplace	market (also in abstract)			f	1	hsk	
988	世纪	4		shì jì	century	CL:個|个[gè]			f		hsk	
989	适合	4	57	shì hé	to fit	to suit			f	3	hsk	
990	适应	4		shì yìng	to adapt	to fit	to suit		f		hsk	
991	收	4	61	shōu	to receive	to accept	to collect	in care of (used on address line after name)	f	2	hsk	
992	收入	4		shōu rù	to take in	income	revenue	CL:筆|笔	f		hsk	
993	收拾	4	53	shōu shi	to put in order	to tidy up	to pack	to repair	f	2	hsk	
994	首都	4	82	shǒu dū	capital (city)	CL:個|个[gè]			f	3	hsk	
995	首先	4	79	shǒu xiān	first (of all)	in the first place			f	2	hsk	
996	受不了	4		shòu bù liǎo	unbearable	unable to endure	can't stand		f		hsk	
997	受到	4	94	shòu dào	to receive	to suffer	obtained	given	f	2	hsk	
998	售货员	4	55	shòu huò yuán	salesperson	CL:個|个[gè]			f	2	hsk	
999	输	4	59	shū	to lose	to transport	to donate	to enter (a password)	f	3	hsk	
1000	熟悉	4	58	shú xī	to be familiar with	to know well			f	2	hsk	
1001	数量	4		shù liàng	amount	quantity	CL:個|个[gè]	quantitative	f		hsk	
1002	数字	4	63	shù zì	digits	digit	number	figure	t	2	hsk	
1003	帅	4	62	shuài	handsome	graceful	smart	commander in chief	f	1	hsk	
1004	顺便	4		shùn biàn	conveniently	in passing	without much extra effort		f		hsk	
1005	顺利	4		shùn lì	smoothly	without a hitch			f		hsk	
1006	顺序	4		shùn xù	sequence	order			f		hsk	
1007	说明	4	70	shuō míng	to explain	to illustrate	to indicate	to show	f	3	hsk	
1008	硕士	4	95	shuò shì	master's degree	learned person			f	2	hsk	
1009	死	4	84	sǐ	to die	impassable	uncrossable	inflexible	f	3	hsk	
1010	速度	4		sù dù	speed	rate	velocity	CL:個|个[gè]	f		hsk	
1011	塑料袋	4	55	sù liào dài	plastic bag				f	3	hsk	
1012	酸	4	48	suān	sour	sore	ache	acid	f	2	hsk	
1013	算	4		suàn	to regard as	to figure	to calculate	to compute	f		hsk	
1014	随便	4		suí biàn	as one wishes	as one pleases	at random	negligent	f		hsk	
1015	随着	4		suí zhe	along with	in the wake of	following		f		hsk	
1016	孙子	4	56	sūn zi	grandson	son's son			f	1	hsk	
1017	所有	4	56	suǒ yǒu	all	to have	to possess	to own	f	2	hsk	
1018	抬	4		tái	to lift	to raise	(of two or more persons) to carry		f		hsk	
1019	台	4		tái	typhoon				f		hsk	
1020	态度	4	71	tài du	manner	bearing	attitude	approach	f	1	hsk	
1021	谈	4		tán	to speak	to talk	to converse	to chat	f		hsk	
1022	弹	4		tán	to pluck (a string)	to play (a string instrument)	to spring or leap	to shoot (e.g. with a catapult)	f		hsk	
1023	汤	4	48	tāng	soup	hot or boiling water	decoction of medicinal herbs	water in which sth has been boiled	f	2	hsk	
1024	躺	4		tǎng	to recline	to lie down			f		hsk	
1025	趟	4		tàng	classifier for times	round trips or rows	a time	a trip	f		hsk	
1026	讨论	4	70	tǎo lùn	to discuss	to talk over	CL:個|个[gè]		f	3	hsk	
1027	讨厌	4	48	tǎo yàn	to dislike	to loathe	disagreeable	troublesome	f	2	hsk	
1028	特点	4		tè diǎn	characteristic (feature)	trait	feature	CL:個|个[gè]	f		hsk	
1029	提供	4	55	tí gōng	to offer	to supply	to provide	to furnish	f	3	hsk	
1030	提前	4	60	tí qián	in advance	to do sth ahead of time	in advance		t	2	hsk	
1031	提醒	4	93	tí xǐng	to remind	to call attention to	to warn of		f	1	hsk	
1032	填空	4		tián kòng	to fill a job vacancy	to fill in a blank (e.g. on questionnaire or exam paper)			f		hsk	
1033	条件	4		tiáo jiàn	condition	circumstances	term	factor	f		hsk	
1034	停止	4	80	tíng zhǐ	to stop	to halt	to cease		f	2	hsk	
1035	挺	4		tǐng	to stick out	to (physically) straighten up	to endure or hold out	straight	f		hsk	
1036	通过	4	70	tōng guò	through	through	via	to pass through	t	1	hsk	
1037	通知	4	93	tōng zhī	to notify	to inform	notice	notification	f	1	hsk	
1038	同情	4		tóng qíng	to sympathize with	sympathy			f		hsk	
1039	推	4		tuī	to push	to cut	to refuse	to reject	f		hsk	
1040	推迟	4	93	tuī chí	to postpone	to put off	to defer		f	3	hsk	
1041	脱	4	79	tuō	to take off	to take off	to escape	to get away from	t	2	hsk	
1042	袜子	4	83	wà zi	socks	stockings	CL:隻|只	對|对	f	1	hsk	
1043	完全	4		wán quán	complete	whole	totally	entirely	f		hsk	
1044	往	4	52	wǎng	to go (in a direction)	to	towards	(of a train) bound for	f	3	hsk	
1045	往往	4	60	wǎng wǎng	often	frequently			f	1	hsk	
1046	网球	4	59	wǎng qiú	tennis	CL:個|个[gè]			f	4	hsk	
1047	网站	4	72	wǎng zhàn	website	network station	node		f	1	hsk	
1048	危险	4	73	wēi xiǎn	danger	dangerous			f	2	hsk	
1049	味道	4	78	wèi dao	flavor	smell	hint of		f	1	hsk	
1050	温度	4	80	wēn dù	temperature	CL:個|个[gè]			f	3	hsk	
1051	文章	4	57	wén zhāng	article	essay	literary works	writings	f	2	hsk	
1052	握手	4	70	wò shǒu	to shake hands				f	2	hsk	
1053	污染	4	82	wū rǎn	pollution	contamination	CL:個|个[gè]		f	3	hsk	
1054	无	4	83	wú	-less	not to have	no	none	f	2	hsk	
1055	无聊	4	66	wú liáo	boring	boring	senseless		t	3	hsk	
1056	无论	4		wú lùn	no matter what or how	regardless of whether...			f		hsk	
1057	误会	4		wù huì	to misunderstand	to mistake	misunderstanding	CL:個|个[gè]	f		hsk	
1058	西红柿	4	48	xī hóng shì	tomato	CL:隻|只[zhī]			f	1	hsk	
1059	吸引	4	62	xī yǐn	to attract	investment etc)	CL:個|个[gè]		t	1	hsk	
1060	洗衣机	4	53	xǐ yī jī	washer	washing machine	CL:臺|台[tái]		f	3	hsk	
1061	咸	4	78	xián	salty	salty	stingy	miserly	t	2	hsk	
1062	现代	4		xiàn dài	modern times	modern age	modern era		f		hsk	
1063	羡慕	4	84	xiàn mù	to envy	to admire			f	1	hsk	
1064	限制	4		xiàn zhì	to restrict	to limit	to confine	restriction	f		hsk	
1065	香	4	48	xiāng	fragrant	sweet smelling	aromatic	savory or appetizing	f	1	hsk	
1066	相反	4		xiāng fǎn	opposite	contrary			f		hsk	
1067	详细	4	70	xiáng xì	detailed	in detail	minute		f	3	hsk	
1068	响	4		xiǎng	echo	sound	noise	to make a sound	f		hsk	
1069	消息	4	66	xiāo xi	news	information	CL:條|条[tiáo]		f	3	hsk	
1070	小说	4	57	xiǎo shuō	novel	fiction	CL:本	部[bù]	f	1	hsk	
1071	笑话	4		xiào huà	joke	jest	CL:個|个[gè]	to laugh at	f		hsk	
1072	效果	4		xiào guǒ	result	effect	quality	CL:個|个[gè]	f		hsk	
1073	心情	4	84	xīn qíng	mood	frame of mind	CL:個|个[gè]		f	3	hsk	
1074	辛苦	4	82	xīn kǔ	hard	exhausting	with much toil	thanks for your trouble	f	2	hsk	
1075	信任	4		xìn rèn	to trust	to have confidence in			f		hsk	
1076	信心	4	59	xìn xīn	confidence	faith (in sb or sth)	CL:個|个[gè]		f	3	hsk	
1077	信用卡	4	55	xìn yòng kǎ	credit card				f	1	hsk	
1078	兴奋	4		xīng fèn	excited	excitement			f		hsk	
1079	行	4		xíng	to walk	to go	to travel	a visit	f		hsk	
1080	醒	4	92	xǐng	to wake up	to awaken	to be awake		f	1	hsk	
1081	性别	4	56	xìng bié	gender	sex	distinguishing between the sexes		f	2	hsk	
1082	性格	4		xìng gé	nature	disposition	temperament	character	f		hsk	
1083	幸福	4		xìng fú	happiness	happy	blessed		f		hsk	
1084	修	4	53	xiū	to repair	to embellish	to repair	to build	t	3	hsk	
1085	许多	4	63	xǔ duō	many	a lot of	much		f	4	hsk	
1086	血	4		xuè	blood	informal colloquial and Taiwan pr. [xiě]	also pr. [xuě]	CL:滴	f		hsk	
1087	压力	4	51	yā lì	stress				t	2	hsk	
1088	牙膏	4	53	yá gāo	toothpaste	CL:管[guǎn]			f	4	hsk	
1089	亚洲	4	47	Yà zhōu	Asia	Asian			f	3	hsk	
1090	呀	4		ya	(particle equivalent to 啊 after a vowel	expressing surprise or doubt)			f		hsk	
1091	盐	4	48	yán	salt	CL:粒[lì]			f	3	hsk	
1092	严格	4	71	yán gé	strict	stringent	tight	rigorous	f	1	hsk	
1093	严重	4	82	yán zhòng	grave	serious	severe	critical	f	1	hsk	
1094	研究生	4	95	yán jiū shēng	graduate student	postgraduate student	research student		f	2	hsk	
1095	演出	4	94	yǎn chū	to act (in a play)	to perform	to put on (a performance)	performance	f	1	hsk	
1096	演员	4	94	yǎn yuán	actor or actress	performer	CL:個|个	位	f	1	hsk	
1097	阳光	4	50	yáng guāng	sunshine	CL:線|线[xiàn]			f	1	hsk	
1098	养成	4		yǎng chéng	to cultivate	to raise	to form (a habit)	to acquire	f		hsk	
1099	样子	4	62	yàng zi	appearance	manner	pattern	model	f	2	hsk	
1100	邀请	4	61	yāo qǐng	to invite	invitation	CL:個|个[gè]		f	2	hsk	
1101	钥匙	4	53	yào shi	key	CL:把[bǎ]			f	1	hsk	
1102	也许	4		yě xǔ	perhaps	maybe			f		hsk	
1103	页	4	57	yè	page	leaf			f	1	hsk	
1104	叶子	4	50	yè zi	leaf	leaf	CL:片[piàn]		t	2	hsk	
1105	一切	4		yī qiè	everything	every	all		f		hsk	
1106	以	4		yǐ	to use	according to	so as to	by means of	f		hsk	
1107	亿	4		yì	100 million				f		hsk	
1108	意见	4	70	yì jiàn	idea	opinion	suggestion	objection	f	1	hsk	
1109	艺术	4		yì shù	art				f		hsk	
1110	因此	4	60	yīn cǐ	thus	consequently	as a result		f	4	hsk	
1111	引起	4	66	yǐn qǐ	to give rise to	to lead to	to cause	to arouse	f	1	hsk	
1112	饮料	4	78	yǐn liào	drinks	beverage			t	2	hsk	
1113	印象	4		yìn xiàng	impression				f		hsk	
1114	赢	4	59	yíng	to beat	to win	to profit		f	3	hsk	
1115	硬	4	92	yìng	hard	stiff	strong	firm	f	2	hsk	
1116	勇敢	4		yǒng gǎn	brave	courageous			f		hsk	
1117	永远	4		yǒng yuǎn	forever	eternal			f		hsk	
1118	优点	4		yōu diǎn	merit	benefit	strong point	advantage	f		hsk	
1119	优秀	4	71	yōu xiù	outstanding	excellent			f	2	hsk	
1120	幽默	4		yōu mò	(loanword) humor	humorous			f		hsk	
1121	由	4	57	yóu	by	from	it is for...to	reason	t	5	hsk	
1122	由于	4	52	yóu yú	due to	as a result of	thanks to	owing to	f	2	hsk	
1123	尤其	4	59	yóu qí	especially	particularly			f	2	hsk	
1124	有趣	4	57	yǒu qù	interesting	fascinating	amusing		f	2	hsk	
1125	友好	4	55	yǒu hǎo	friendly	amicable	close friend		f	2	hsk	
1126	友谊	4	63	yǒu yì	friendship	fellowship	friendship		t	4	hsk	
1127	愉快	4	47	yú kuài	pleasant	cheerily	delightful	pleasant	t	1	hsk	
1128	于是	4		yú shì	thereupon	as a result	consequently	thus	f		hsk	
1129	与	4		yǔ	and	to give	together with		f		hsk	
1130	语法	4	57	yǔ fǎ	grammar				f	4	hsk	
1131	语言	4	57	yǔ yán	language	CL:門|门	種|种[zhǒng]		f	1	hsk	
1132	羽毛球	4	59	yǔ máo qiú	shuttlecock	badminton	CL:個|个[gè]		f	1	hsk	
1133	预习	4	95	yù xí	pre-study				t	1	hsk	
1134	圆	4		yuán	circle	round	circular	spherical	f		hsk	
1135	原来	4		yuán lái	original	former	originally	formerly	f		hsk	
1136	原谅	4	61	yuán liàng	to excuse	to forgive	to pardon		f	1	hsk	
1137	原因	4	73	yuán yīn	cause	origin	root cause	reason	f	1	hsk	
1138	约会	4	63	yuē huì	date	engagement	date	CL:次	t	1	hsk	
1139	阅读	4	57	yuè dú	to read	reading			f	3	hsk	
1140	允许	4		yǔn xǔ	to permit	to allow			f		hsk	
1141	杂志	4	57	zá zhì	magazine	CL:本	份	期[qī]	f	4	hsk	
1142	咱们	4	63	zán men	we or us (incldung the person spoken to)	I or me	you		t	1	hsk	
1143	暂时	4	52	zàn shí	temporary	provisional	for the time being		f	2	hsk	
1144	脏	4	53	zāng	dirty	filthy			f	3	hsk	
1145	责任	4		zé rèn	responsibility	blame	duty	CL:個|个[gè]	f		hsk	
1146	增加	4	51	zēng jiā	to increase	to increase			t	4	hsk	
1147	增长	4		zēng zhǎng	to grow	to increase			f		hsk	
1148	窄	4	52	zhǎi	narrow	narrow-minded	badly off		f	3	hsk	
1149	招聘	4	51	zhāo pìn	recruitment	to invite applications for a job			f	1	hsk	
1150	真正	4		zhēn zhèng	genuine	real	true	genuinely	f		hsk	
1151	整理	4	92	zhěng lǐ	tidy up	to tidy up	to sort out	to straighten out	t	1	hsk	
1152	整齐	4		zhěng qí	orderly	neat	even	tidy	f		hsk	
1153	正常	4		zhèng cháng	regular	normal	ordinary		f		hsk	
1154	正好	4		zhèng hǎo	just (in time)	just right	just enough	to happen to	f		hsk	
1155	正确	4		zhèng què	correct	proper			f		hsk	
1156	正式	4	61	zhèng shì	formal	official			f	2	hsk	
1157	证明	4		zhèng míng	proof	certificate	identification	testimonial	f		hsk	
1158	之	4		zhī	(possessive particle	literary equivalent of 的)	him	her	f		hsk	
1159	支持	4		zhī chí	to be in favor of	to support	to back	support	f		hsk	
1160	知识	4	95	zhī shi	knowledge	knowledge-related	knowledge	CL:門|门[mén]	t	2	hsk	
1161	直接	4		zhí jiē	direct	opposite: indirect 間接|间接	immediate	directly	f		hsk	
1162	值得	4		zhí de	to be worth	to deserve			f		hsk	
1163	职业	4	60	zhí yè	occupation	profession	vocation	professional	f	1	hsk	
1164	植物	4	50	zhí wù	plant	plant	vegetation	CL:種|种[zhǒng]	t	4	hsk	
1165	指	4		zhǐ	finger	to point at or to	to indicate or refer to	to depend on	f		hsk	
1166	只好	4		zhǐ hǎo	without any better option	to have to	to be forced to		f		hsk	
1167	只要	4		zhǐ yào	if only	so long as			f		hsk	
1168	制造	4	83	zhì zào	to manufacture	to make			f	1	hsk	
1169	至少	4		zhì shǎo	at least	(to say the) least			f		hsk	
1170	质量	4	83	zhì liàng	quality	mass (in physics)	CL:個|个[gè]		f	1	hsk	
1171	中文	4	47	Zhōng wén	Chinese	Chinese written language	Chinese writing		f	3	hsk	
1172	重点	4		zhòng diǎn	important point	main point	focus	key (project etc)	f		hsk	
1173	重视	4	83	zhòng shì	to attach importance to sth	to value			f	1	hsk	
1174	周围	4	91	zhōu wéi	surroundings	environment	to encompass		f	3	hsk	
1175	猪	4		zhū	hog	pig	swine	CL:口	f		hsk	
1176	逐渐	4	59	zhú jiàn	gradually				f	2	hsk	
1177	主动	4	79	zhǔ dòng	to take the initiative	to do sth of one's own accord	spontaneous	active	f	3	hsk	
1178	主意	4		zhǔ yi	plan	idea	decision	CL:個|个[gè]	f		hsk	
1179	祝贺	4	61	zhù hè	to congratulate	congratulations	CL:個|个[gè]		f	1	hsk	
1180	著名	4	94	zhù míng	famous	noted	well-known	celebrated	f	1	hsk	
1181	专门	4		zhuān mén	specialist	specialized	customized		f		hsk	
1182	专业	4		zhuān yè	professional	specialized field	main field of study (at university)	major	t		hsk	
1183	赚	4		zhuàn	to earn	to make a profit			f		hsk	
1184	撞	4		zhuàng	to hit	to strike	to meet by accident	to run into	f		hsk	
1185	准确	4		zhǔn què	accurate	exact	precise		f		hsk	
1186	准时	4	49	zhǔn shí	on time	punctual	on schedule		f	2	hsk	
1187	仔细	4		zǐ xì	careful	attentive	cautious		f		hsk	
1188	自然	4	50	zì rán	nature	natural	naturally		f	3	hsk	
1189	总结	4		zǒng jié	to sum up	to conclude	summary	résumé	f		hsk	
1190	租	4	51	zū	rent	to rent	to charter	to rent out	t	1	hsk	
1191	组成	4		zǔ chéng	to form	to make up	to constitute		f		hsk	
1192	组织	4		zǔ zhī	to organize	organization	organized system	nerve	f		hsk	
1193	嘴	4		zuǐ	mouth	beak	nozzle	spout (of teapot etc)	f		hsk	
1194	最好	4	78	zuì hǎo	best	(you) had better (do what we suggest)			f	2	hsk	
1195	最后	4	63	zuì hòu	final	last	finally	ultimate	f	2	hsk	
1196	尊重	4		zūn zhòng	to esteem	to respect	to honor	to value	f		hsk	
1197	做生意	4	51	zuò shēng yì	to do business				f	1	hsk	
1198	座	4	52	zuò	(counter for buildings/mountains/immovable objects)	base	stand	CL:個|个[gè]	t	1	hsk	
1199	座位	4	79	zuò wèi	seat	CL:個|个[gè]			f	3	hsk	
1200	作者	4	57	zuò zhě	author	writer	CL:個|个[gè]		f	5	hsk	
1201	唉	5		āi	interjection or grunt of agreement or recognition (e.g. yes	it's me!)	to sigh		f		hsk	
1202	爱护	5		ài hù	to cherish	to treasure	to take care of	to love and protect	f		hsk	
1203	爱惜	5		ài xī	to cherish	to treasure	to use sparingly		f		hsk	
1204	爱心	5		ài xīn	compassion	CL:片[piàn]			f		hsk	
1205	安慰	5		ān wèi	to comfort	to console	CL:個|个[gè]		f		hsk	
1206	安装	5		ān zhuāng	to install	to erect	to fix	to mount	f		hsk	
1207	岸	5		àn	bank	shore	beach	coast	f		hsk	
1208	把握	5		bǎ wò	to grasp (also fig.)	to seize	to hold	assurance	f		hsk	
1209	摆	5		bǎi	to arrange	to exhibit	to move to and fro	a pendulum	f		hsk	
1210	班主任	5		bān zhǔ rèn	teacher in charge of a class				f		hsk	
1211	办理	5		bàn lǐ	to handle	to transact	to conduct		f		hsk	
1212	棒	5		bàng	a stick	club or cudgel	smart	capable	f		hsk	
1213	傍晚	5		bàng wǎn	in the evening	when night falls	towards evening	at night fall	f		hsk	
1214	包裹	5		bāo guǒ	wrap up	bind up	bundle	parcel	f		hsk	
1215	包含	5		bāo hán	to contain	to embody	to include		f		hsk	
1216	包子	5		bāo zi	steamed stuffed bun	CL:個|个[gè]			f		hsk	
1217	薄	5		báo	thin	cold in manner	indifferent	weak	f		hsk	
1218	宝贝	5		bǎo bèi	treasured object	treasure	darling	baby	f		hsk	
1219	宝贵	5		bǎo guì	valuable	precious	to value	to treasure	f		hsk	
1220	保持	5		bǎo chí	to keep	to maintain	to hold	to preserve	f		hsk	
1221	保存	5		bǎo cún	to conserve	to preserve	to keep	to save (a file etc) (computing)	f		hsk	
1222	保留	5		bǎo liú	to retain	to continue to have	to preserve	to maintain	f		hsk	
1223	保险	5		bǎo xiǎn	insurance	to insure	safe	secure	f		hsk	
1224	报告	5		bào gào	to inform	to report	to make known	speech	f		hsk	
1225	悲观	5		bēi guān	pessimistic				f		hsk	
1226	被子	5		bèi zi	quilt	CL:床[chuáng]			f		hsk	
1227	背	5		bèi	the back of a body or object	to turn one's back	to hide something from	to learn by heart	f		hsk	
1228	背景	5		bèi jǐng	background	backdrop	context	CL:種|种[zhǒng]	f		hsk	
1229	本科	5		běn kē	undergraduate course	undergraduate (adjective)			f		hsk	
1230	本领	5		běn lǐng	skill	ability	capability	CL:項|项	f		hsk	
1231	本质	5		běn zhì	essence	nature	innate character	intrinsic quality	f		hsk	
1232	比例	5		bǐ lì	proportion	scale			f		hsk	
1233	比如	5		bǐ rú	for example	for instance	such as		f		hsk	
1234	彼此	5		bǐ cǐ	each other	one another			f		hsk	
1235	必然	5		bì rán	inevitable	certain	necessity		f		hsk	
1236	必需	5		bì xū	to need	to require	essential	indispensable	f		hsk	
1237	必要	5		bì yào	necessary	essential	indispensable	required	f		hsk	
1238	毕竟	5		bì jìng	after all	all in all	when all is said and done	in the final analysis	f		hsk	
1239	避免	5		bì miǎn	to avert	to prevent	to avoid	to refrain from	f		hsk	
1240	鞭炮	5		biān pào	firecrackers	a string of small firecrackers	CL:枚[méi]		f		hsk	
1241	编辑	5		biān jí	to edit	to compile	editor	compiler	f		hsk	
1242	便	5		biàn	ordinary	plain	convenient	as convenient	f		hsk	
1243	辩论	5		biàn lùn	debate	argument	to argue over	CL:場|场	f		hsk	
1244	标点	5		biāo diǎn	punctuation	a punctuation mark	to punctuate	CL:個|个[gè]	f		hsk	
1245	标志	5		biāo zhì	sign	mark	symbol	to symbolize	f		hsk	
1246	表面	5		biǎo miàn	surface	face	outside	appearance	f		hsk	
1247	表明	5		biǎo míng	to make clear	to make known	to state clearly	to indicate	f		hsk	
1248	表情	5		biǎo qíng	(facial) expression	to express one's feelings	expression		f		hsk	
1249	表现	5		biǎo xiàn	to show	to show off	to display	to manifest	f		hsk	
1250	丙	5		bǐng	third of 10 heavenly stems 十天干	third in order	letter 'C' or roman 'III' in list 'A' 'B' 'C' or 'I' 'II' 'III' etc	propyl	f		hsk	
1251	病毒	5		bìng dú	virus				f		hsk	
1252	玻璃	5		bō li	glass	nylon	plastic	CL:張|张	f		hsk	
1253	博物馆	5		bó wù guǎn	museum				f		hsk	
1254	脖子	5		bó zi	neck	CL:個|个[gè]			f		hsk	
1255	不必	5		bù bì	need not	does not have to	not necessarily		f		hsk	
1256	不断	5		bù duàn	unceasing	uninterrupted	continuous	constant	f		hsk	
1257	不见得	5		bù jiàn de	not necessarily	not likely			f		hsk	
1258	不耐烦	5		bù nài fán	impatience	impatient			f		hsk	
1259	不要紧	5		bù yào jǐn	unimportant	not serious	it doesn't matter	never mind	f		hsk	
1260	补充	5		bǔ chōng	to replenish	to supplement	to complement	additional	f		hsk	
1261	不安	5		bù ān	unpeaceful	unstable	uneasy	disturbed	f		hsk	
1262	不得了	5		bù dé liǎo	desperately serious	disastrous	extremely	exceedingly	f		hsk	
1263	不好意思	5		bù hǎo yì si	to feel embarrassed	to find it embarrassing	to be sorry (for inconveniencing sb)		f		hsk	
1264	不免	5		bù miǎn	inevitably				f		hsk	
1265	不然	5		bù rán	not so	no	or else	otherwise	f		hsk	
1266	不如	5		bù rú	not equal to	not as good as	inferior to	it would be better to	f		hsk	
1267	不足	5		bù zú	insufficient	lacking	deficiency	not enough	f		hsk	
1268	布	5		bù	cloth	to declare	to announce	to spread	f		hsk	
1269	步骤	5		bù zhòu	procedure	step			f		hsk	
1270	部门	5		bù mén	department	branch	section	division	f		hsk	
1271	财产	5		cái chǎn	property	CL:筆|笔[bǐ]			f		hsk	
1272	踩	5		cǎi	to step on	to tread	to stamp	to press a pedal	f		hsk	
1273	采访	5		cǎi fǎng	to interview	to gather news	to hunt for and collect	to cover	f		hsk	
